date,recommendation,confidence,risk,expected_return,position_size,trend,volatility,price,recommended_price,best_buy_price,best_sell_price,rsi,macd,macd_signal,sma_20,sma_50,rationale,reason,open,high,low,close,volume,ema_20,ema_50,sma_200,ema_200,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi,signal
2025-01-02,Hold,100,Medium,0.0,0.0,Uptrend,0.22750526667880622,510.23,,,,43.772663084265226,1.3594590400799689,3.9655286089210997,523.3405,510.765,"Signal: Hold | Confidence: 100 | Price: 510.23 | RSI: 43.772663084265226 | MACD: 1.3594590400799689 | MACD Signal: 3.9655286089210997 | SMA20: 523.3405 | SMA50: 510.765 | Trend: Uptrend | Volatility: 22.75% | Risk: Medium. Reason: {'buy_reasons': ['SMA20 > SMA50', 'RSI < 45', 'Stoch < 20'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45', 'Stoch < 20'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50"", ""RSI < 45"", ""Stoch < 20""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""Close < Ichimoku A/B"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50"", ""RSI < 45"", ""Stoch < 20""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",514.3,516.64,505.71,510.23,36389783,519.2346549277197,511.2204120128164,475.27004999999997,475.50235606914424,-2.606069568841131,538.2810575197416,508.39994248025846,523.3405,13.51674641148337,13.726390353280797,13.097458527888516,19.41159822164493,-2357896672,519.5074999999999,511.45,7.664344291668944,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.2579172624516,39.76596821552449,hold
2025-01-03,Hold,100,Low,0.0,0.0,Uptrend,0.17077619669899183,518.58,,,,50.58074851874388,1.1946816196468717,3.4113592110662543,523.1065000000001,511.2174,"Signal: Hold | Confidence: 100 | Price: 518.58 | RSI: 50.58074851874388 | MACD: 1.1946816196468717 | MACD Signal: 3.4113592110662543 | SMA20: 523.1065000000001 | SMA50: 511.2174 | Trend: Uptrend | Volatility: 17.08% | Risk: Low. Reason: {'buy_reasons': ['SMA20 > SMA50'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",513.35,519.6454,512.53,518.58,29059520,519.1723068393654,511.5090233064314,475.67010000000005,475.93098934208814,-2.2166775914193826,538.1906775049457,508.02232249505454,523.1065000000001,38.48684210526334,19.500191483702356,76.46014334838532,19.560267477123407,-2328837152,519.5074999999999,511.45,7.738019789541999,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.340594600847913,45.34952159785062,hold
2025-01-06,Hold,100,Low,0.0,0.0,Uptrend,0.1765929266716933,524.54,,,,54.7886842334352,1.5274094911634393,3.0345692670856916,523.2429999999999,511.941,"Signal: Hold | Confidence: 100 | Price: 524.54 | RSI: 54.7886842334352 | MACD: 1.5274094911634393 | MACD Signal: 3.0345692670856916 | SMA20: 523.2429999999999 | SMA50: 511.941 | Trend: Uptrend | Volatility: 17.66% | Risk: Low. Reason: {'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'Close > Ichimoku A/B', 'MTF Bullish (proxy)'], 'sell_reasons': ['MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'Close > Ichimoku A/B'], 'top_sell': ['MACD < Signal', 'OBV < 0', 'High Volatility'], 'mtf_used': True}","{""buy_reasons"": [""Close > EMA20"", ""SMA20 > SMA50"", ""Close > Ichimoku A/B"", ""MTF Bullish (proxy)""], ""sell_reasons"": [""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""Close > EMA20"", ""SMA20 > SMA50"", ""Close > Ichimoku A/B""], ""top_sell"": [""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""mtf_used"": true}",524.02,527.92,522.03,524.54,36109734,519.6835157118068,512.0200420002968,476.07394999999997,476.4146610899281,-1.5071597759222524,538.3271865541601,508.1588134458398,523.2429999999999,56.30980861244015,36.10446570972895,96.72049441786255,18.49229978745971,-2292727418,519.5074999999999,511.45,7.738024431691128,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.411980700787343,46.142296333643856,hold
2025-01-07,Hold,100,Low,0.0,0.0,Uptrend,0.19759912179515593,515.18,,,,47.8918634450189,1.0240206783498706,2.6324595493385274,522.678,512.3982,"Signal: Hold | Confidence: 100 | Price: 515.18 | RSI: 47.8918634450189 | MACD: 1.0240206783498706 | MACD Signal: 2.6324595493385274 | SMA20: 522.678 | SMA50: 512.3982 | Trend: Uptrend | Volatility: 19.76% | Risk: Low. Reason: {'buy_reasons': ['SMA20 > SMA50'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",525.59,525.99,513.28,515.18,36690272,519.2546094535394,512.1439619218538,476.4205,476.8003858552025,-1.6084388709886568,538.078082597204,507.277917402796,522.678,29.8079949638022,41.534881893835234,6.354221103736137,18.431616591653473,-2329417690,520.3525,511.45,7.900075682527322,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.718982079302535,39.107046327738395,hold
2025-01-08,Hold,100,Low,0.0,0.0,Uptrend,0.1917198584843215,515.27,,,,47.959697725819886,0.6251374696969378,2.2309951334102096,522.3225,512.7972,"Signal: Hold | Confidence: 100 | Price: 515.27 | RSI: 47.959697725819886 | MACD: 0.6251374696969378 | MACD Signal: 2.2309951334102096 | SMA20: 522.3225 | SMA50: 512.7972 | Trend: Uptrend | Volatility: 19.17% | Risk: Low. Reason: {'buy_reasons': ['SMA20 > SMA50'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",515.08,516.9199,510.57,515.27,30777777,518.8751228389166,512.2665516504086,476.76494999999994,477.18316808549895,-1.6058576637132718,538.0582858081732,506.58671419182673,522.3225,30.67061492016333,38.929472832135225,14.152899096219542,18.631677725090544,-2298639913,520.4525,511.45,8.072287796117271,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.549761930780925,39.028591224719655,hold
2025-01-10,Hold,100,Low,0.0,0.0,Uptrend,0.18387738892727692,507.19,,,,42.598174351318214,-0.33906034300491683,1.7169840381271844,521.6519999999999,513.033,"Signal: Hold | Confidence: 100 | Price: 507.19 | RSI: 42.598174351318214 | MACD: -0.33906034300491683 | MACD Signal: 1.7169840381271844 | SMA20: 521.6519999999999 | SMA50: 513.033 | Trend: Uptrend | Volatility: 18.39% | Risk: Low. Reason: {'buy_reasons': ['SMA20 > SMA50', 'RSI < 45'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50"", ""RSI < 45""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""Close < Ichimoku A/B"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50"", ""RSI < 45""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",511.48,511.58,503.92,507.19,40532495,517.762253997115,512.0674711935299,477.0771,477.48174352743433,-2.056044381132101,538.7113605976515,504.59263940234837,521.6519999999999,11.969253294289834,24.14928772608512,-12.390815569300742,19.39857419138574,-2339172408,518.7275,511.45,8.751267336802488,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.749778935725143,40.28855634361125,hold
2025-01-13,Hold,100,Low,0.0,0.0,Uptrend,0.18290931569999452,505.56,,,,41.58812627134925,-1.2206505342327318,1.1294571236552011,520.434,513.1410000000001,"Signal: Hold | Confidence: 100 | Price: 505.56 | RSI: 41.58812627134925 | MACD: -1.2206505342327318 | MACD Signal: 1.1294571236552011 | SMA20: 520.434 | SMA50: 513.1410000000001 | Trend: Uptrend | Volatility: 18.29% | Risk: Low. Reason: {'buy_reasons': ['SMA20 > SMA50', 'RSI < 45'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50"", ""RSI < 45""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""Close < Ichimoku A/B"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50"", ""RSI < 45""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",501.2,506.02,499.7,505.56,31694210,516.6001345688184,511.812276244764,477.38829999999996,477.7611291639773,-2.350107657887933,538.4119369228148,502.45606307718515,520.434,18.57958148383009,20.406483232761087,14.925777985968097,20.443333649115747,-2370866618,516.6175,511.45,9.222487048980211,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.65979472603049,41.63252500176155,hold
2025-01-14,Hold,100,Low,0.0,0.0,Uptrend,0.17683080075622162,505.08,,,,41.27773802486157,-1.9357351509014507,0.5164186687438708,519.363,513.315,"Signal: Hold | Confidence: 100 | Price: 505.08 | RSI: 41.27773802486157 | MACD: -1.9357351509014507 | MACD Signal: 0.5164186687438708 | SMA20: 519.363 | SMA50: 513.315 | Trend: Uptrend | Volatility: 17.68% | Risk: Low. Reason: {'buy_reasons': ['SMA20 > SMA50', 'RSI < 45', 'Stoch < 20'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45', 'Stoch < 20'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50"", ""RSI < 45"", ""Stoch < 20""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""Close < Ichimoku A/B"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50"", ""RSI < 45"", ""Stoch < 20""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",508.74,510.155,501.59,505.08,33737237,515.5029788955975,511.548265411636,477.68954999999994,478.03295872453475,-2.4521538196453214,538.2946624732408,500.4313375267593,519.363,17.05770450221938,15.868846426779768,19.435420653098603,20.790738334000483,-2404603855,516.6175,511.45,9.711737933263933,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.65302367417117,37.95140471120932,hold
2025-01-15,Hold,100,Medium,0.0,0.0,Uptrend,0.210327325597296,516.7,,,,50.84252043881341,-1.546975404406453,0.10373985411380598,518.6714999999999,513.972,"Signal: Hold | Confidence: 100 | Price: 516.7 | RSI: 50.84252043881341 | MACD: -1.546975404406453 | MACD Signal: 0.10373985411380598 | SMA20: 518.6714999999999 | SMA50: 513.972 | Trend: Uptrend | Volatility: 21.03% | Risk: Medium. Reason: {'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'Close > Ichimoku A/B', 'MTF Bullish (proxy)'], 'sell_reasons': ['MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'Close > Ichimoku A/B'], 'top_sell': ['MACD < Signal', 'OBV < 0', 'High Volatility'], 'mtf_used': True}","{""buy_reasons"": [""Close > EMA20"", ""SMA20 > SMA50"", ""Close > Ichimoku A/B"", ""MTF Bullish (proxy)""], ""sell_reasons"": [""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""Close > EMA20"", ""SMA20 > SMA50"", ""Close > Ichimoku A/B""], ""top_sell"": [""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""mtf_used"": true}",513.03,517.85,511.46,516.7,34957554,515.6169809055406,511.75029421902286,478.05300000000005,478.4177054038926,-1.650715258520259,536.9190502739604,500.42394972603955,518.6714999999999,53.89980976537744,29.845698583808968,102.0080321285144,20.08107247370842,-2369646301,516.6175,511.45,9.360795779834442,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.947093411730375,38.64624302224741,hold
2025-01-16,Hold,100,Medium,0.0,0.0,Uptrend,0.20871280128337402,513.08,,,,48.20813236692123,-1.5135371368744472,-0.2197155440838447,517.4169999999999,514.485,"Signal: Hold | Confidence: 100 | Price: 513.08 | RSI: 48.20813236692123 | MACD: -1.5135371368744472 | MACD Signal: -0.2197155440838447 | SMA20: 517.4169999999999 | SMA50: 514.485 | Trend: Uptrend | Volatility: 20.87% | Risk: Medium. Reason: {'buy_reasons': ['SMA20 > SMA50'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{""buy_reasons"": [""SMA20 > SMA50""], ""sell_reasons"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""SMA20 > SMA50""], ""top_sell"": [""Close < EMA20"", ""MACD < Signal"", ""OBV < 0""], ""mtf_used"": false}",518.98,519.0599,512.95,513.08,28229037,515.3753636764415,511.8024395437671,478.39365,478.7626038575853,-1.2938215927906025,533.4448720983389,501.3891279016609,517.4169999999999,42.42232086239709,37.79327837666464,51.680405833862,19.270428599172586,-2397875338,516.6175,511.45,8.22212490144273,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.744436739463914,33.81657700030745,hold
2025-01-17,Hold,100,Medium,0.0,0.0,Uptrend,0.2235497098745318,521.74,,,,54.307584180194475,-0.7792645667354918,-0.33162534861417414,516.714,515.1996,"Signal: Hold | Confidence: 100 | Price: 521.74 | RSI: 54.307584180194475 | MACD: -0.7792645667354918 | MACD Signal: -0.33162534861417414 | SMA20: 516.714 | SMA50: 515.1996 | Trend: Uptrend | Volatility: 22.35% | Risk: Medium. Reason: {'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'Close > Ichimoku A/B', 'MTF Bullish (proxy)'], 'sell_reasons': ['MACD < Signal', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'Close > Ichimoku A/B'], 'top_sell': ['MACD < Signal', 'OBV < 0', 'High Volatility'], 'mtf_used': True}","{""buy_reasons"": [""Close > EMA20"", ""SMA20 > SMA50"", ""Close > Ichimoku A/B"", ""MTF Bullish (proxy)""], ""sell_reasons"": [""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""hold_reasons"": [], ""top_buy"": [""Close > EMA20"", ""SMA20 > SMA50"", ""Close > Ichimoku A/B""], ""top_sell"": [""MACD < Signal"", ""OBV < 0"", ""High Volatility""], ""mtf_used"": true}",522.85,524.0733,513.1086,521.74,51837941,515.9815195167804,512.1921477969527,478.7968,479.19023964009693,-0.4476392181213177,530.536683386402,502.891316613598,516.714,78.10063784549979,58.14092282442477,118.02006788764983,17.906120861725757,-2346037397,516.6175,511.70225,7.090886961087798,20.06,218.49372000000002,279.79,341.08628000000004,539.52,8.905069829502205,38.25027438439243,hold
